last_name, first_name,player_id,name_abbrev,team_id,position_name,age,bat_side,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090
Cabrera, Asdrubal,452678,PHI,143,2B,33,L,0,0.54,0.85,1.13,1.39,1.63,1.85,2.06,2.27,2.47,2.66,2.85,3.04,3.23,3.42,3.61,3.8,4,4.2
Cabrera, Melky,466320,CLE,114,RF,34,L,0,0.52,0.81,1.08,1.33,1.56,1.78,1.99,2.19,2.38,2.58,2.76,2.95,3.14,3.32,3.51,3.7,3.89,4.09
Cain, Lorenzo,456715,MIL,158,CF,32,R,0,0.55,0.85,1.1,1.34,1.56,1.77,1.96,2.15,2.33,2.51,2.69,2.86,3.03,3.2,3.37,3.53,3.7,3.88
Calhoun, Kole,594777,LAA,108,RF,31,L,0,0.52,0.8,1.07,1.32,1.55,1.78,1.99,2.19,2.38,2.58,2.77,2.96,3.14,3.33,3.51,3.7,3.89,4.08
Calhoun, Willie,641432,TEX,140,LF,24,L,0,0.55,0.86,1.14,1.39,1.63,1.85,2.07,2.27,2.47,2.66,2.86,3.05,3.23,3.42,3.6,3.78,3.97,4.16
Camargo, Johan,622666,ATL,144,3B,25,L,0,0.54,0.84,1.11,1.35,1.58,1.8,2.01,2.21,2.4,2.59,2.78,2.97,3.15,3.34,3.53,3.72,3.94,4.18
Camargo, Johan,622666,ATL,144,3B,25,R,0,0.53,0.83,1.1,1.35,1.59,1.81,2.02,2.22,2.42,2.61,2.8,2.99,3.17,3.36,3.54,3.73,3.93,4.16
Candelario, Jeimer,600869,DET,116,3B,25,L,0,0.53,0.83,1.1,1.35,1.58,1.8,2.01,2.21,2.4,2.59,2.78,2.97,3.15,3.33,3.51,3.69,3.87,4.07
Candelario, Jeimer,600869,DET,116,3B,25,R,0,0.55,0.86,1.13,1.39,1.62,1.84,2.05,2.25,2.45,2.63,2.82,3,3.19,3.37,3.54,3.72,3.9,4.09
Canha, Mark,592192,OAK,133,CF,29,R,0,0.54,0.84,1.11,1.35,1.58,1.8,2,2.2,2.39,2.58,2.76,2.95,3.13,3.3,3.48,3.66,3.84,4.02
